case,analysis_time_mean,analysis_time_stdev,analysis_time_min,analysis_time_max,n_runs,result,lines,internal_calls,external_calls,control_flow,debug_total,num_records,using_directives,loop_count,branch_count,guard_count,debug_statevar,debug_localvar,debug_globalvar,debug_ireturn,intent_during,intent_post,intent_total
div_in_path_WANGMI,14.9379,2.5648,12.008,16.777,3,VIOLATED,339,24,55,22,21,221,1,0,8,14,17,3,1,0,1,0,1
exchange_problem_Nokon,0.6672,0.0931,0.6028,0.7739,3,VIOLATED,38,3,0,5,3,43,1,0,2,3,2,0,1,0,1,0,1
greedy_contract_SwordCrowdsale,0.659,0.0655,0.6207,0.7347,3,VIOLATED,48,2,2,3,2,54,0,0,1,2,2,0,0,0,0,2,2
operator_order_issue_BoostToken,5.4304,0.4814,4.8952,5.828,3,VIOLATED,128,16,18,21,1,127,2,1,9,11,0,1,0,0,2,0,2
indivisible_amount_BoostToken,5.6688,0.6042,4.978,6.0985,3,VIOLATED,128,16,18,21,1,129,2,1,9,11,0,1,0,0,4,0,4
profit_opportunity_HIT,2.0346,0.4561,1.604,2.5125,3,VIOLATED,52,2,6,8,7,62,1,0,5,3,6,0,1,0,1,0,1
web3bugs_5_H_07,0.4445,0.1201,0.318,0.557,3,VIOLATED,20,0,0,0,3,25,0,0,0,0,0,3,0,0,1,0,1
web3bugs_5_H_08,1.1049,0.1666,0.99,1.2959,3,VIOLATED,34,1,0,4,5,41,0,0,4,0,0,5,0,0,1,0,1
web3bugs_5_H_12,1.7503,1.4143,0.8708,3.3818,3,VIOLATED,27,0,1,3,7,36,0,0,3,0,4,2,0,1,0,1,1
web3bugs_45_H_01,13.5498,4.5205,9.4102,18.3732,3,VIOLATED,159,23,8,20,15,165,1,0,9,11,13,1,1,0,4,0,4
web3bugs_47_H_02,1.4155,0.1147,1.342,1.5477,3,VIOLATED,19,1,3,0,6,28,0,0,0,0,3,3,0,0,0,1,1
web3bugs_51_H_02,3.176,0.6863,2.768,3.9684,3,VIOLATED,91,1,21,11,8,98,3,0,6,5,5,2,1,0,1,0,1
web3bugs_56_H_02,2.3663,1.4488,1.5123,4.0391,3,VIOLATED,33,0,7,3,5,38,4,0,3,0,5,0,0,0,0,1,1
web3bugs_58_H_02,9.6702,3.6594,6.9777,13.8368,3,VIOLATED,67,0,5,16,16,78,1,4,12,0,3,8,0,5,1,0,1
web3bugs_60_H_01,1.0585,0.0683,0.983,1.116,3,VIOLATED,18,0,8,1,3,23,2,0,1,0,2,1,0,0,1,0,1
web3bugs_62_H_08,4.7611,0.3201,4.4198,5.0546,3,VIOLATED,117,3,3,16,14,131,1,0,10,6,13,0,1,0,0,1,1
web3bugs_70_H_10,3.3212,0.3074,2.9904,3.5981,3,VIOLATED,82,2,5,4,8,58,1,1,1,2,7,0,1,0,0,1,1
web3bugs_77_H_01,0.3281,0.024,0.3047,0.3526,3,VIOLATED,26,5,0,0,5,28,0,0,0,0,0,5,0,0,0,1,1
web3bugs_78_H_02,0.5775,0.0156,0.5595,0.5871,3,VIOLATED,18,1,3,2,5,21,0,0,1,1,2,2,0,1,0,1,1
web3bugs_101_H_01,0.8704,0.0412,0.8289,0.9112,3,VIOLATED,36,0,4,0,5,44,2,0,0,0,2,2,0,1,1,0,1
