case_id,source,contract_name,function_name,pattern,status,contest_number,project_root,target_sol_file,solc_version
numscout_WANGMI,numscout,WANGMI,_transfer,div_in_path,annotated,,,Dataset/Numscout/Original/Target/div_in_path/39da420ac0d9a6d8e05c5d9acac75377decfbb42_WANGMI.sol,0.6.12
numscout_Nokon,numscout,Nokon,buy,exchange_problem,annotated,,,Dataset/Numscout/Original/Target/exchange_problem/259562c54c07aca61e12ee12c62016eaf3fd7852_Nokon.sol,0.7.4
numscout_SwordCrowdsale,numscout,SwordCrowdsale,refundMoney,greedy_contract,annotated,,,Dataset/Numscout/contraction/greedy_contract/SwordCrowdsale_contraction.sol,0.6.12
numscout_BoostToken_operator,numscout,BoostToken,sendETHToTeam,operator_order_issue,annotated,,,Dataset/Numscout/Original/Target/operator_order_issue/4E0fCa55a6C3A94720ded91153A27F60E26B9AA8_BoostToken.sol,0.6.12
numscout_BoostToken_indivisible,numscout,BoostToken,sendETHToTeam,indivisible_amount,annotated,,,Dataset/Numscout/Original/Target/indivisible_amount/4E0fCa55a6C3A94720ded91153A27F60E26B9AA8_BoostToken.sol,0.6.12
numscout_EthereumGod,numscout,EthereumGod,swapAndLiquify,precision_loss_trend,not_detectable,,,Dataset/Numscout/Original/Target/precision_loss_trend/2f0b287275Fc50a1Cb854797927A12a98d3b9460_EthereumGod.sol,0.6.12
numscout_HIT,numscout,HIT,getTokens,profit_opportunity,annotated,,,Dataset/Numscout/Original/Target/profit_opportunity/2af6139c39c05e0597c0ac12c60b303c38aa69e7_HIT.sol,0.4.24
web3bugs_35_H_12,web3bugs,ConcentratedLiquidityPool,mint,erroneous_accounting,not_detectable,35,35/trident,35/trident/contracts/pool/concentrated/ConcentratedLiquidityPool.sol,0.8.0
web3bugs_45_H_01,web3bugs,UToken,borrow,erroneous_accounting,annotated,45,45,45/contracts/market/UToken.sol,0.8.4
web3bugs_45_H_02,web3bugs,CreditLimitByMedian,getLockedAmount,erroneous_accounting,not_detectable,45,45,45/contracts/user/CreditLimitByMedian.sol,0.8.4
web3bugs_83_H_02,web3bugs,MasterChef,deposit,erroneous_accounting,not_detectable,83,83,83/contracts/MasterChef.sol,0.8.11
web3bugs_112_H_01,web3bugs,StakerVault,transfer,erroneous_accounting,not_detectable,112,112/backd,112/backd/contracts/StakerVault.sol,0.8.9
web3bugs_3_H_04,web3bugs,HourlyBondSubscriptionLending,viewHourlyBondAmount,erroneous_accounting,not_detectable,3,3,3/contracts/HourlyBondSubscriptionLending.sol,0.8.0
web3bugs_61_H_02,web3bugs,SavingsAccountUtil,savingsAccountTransfer,erroneous_accounting,not_detectable,61,61,61/contracts/SavingsAccount/SavingsAccountUtil.sol,0.7.6
web3bugs_101_H_01,web3bugs,LenderPool,_calculatePrincipalWithdrawable,erroneous_accounting,annotated,101,101/sublime-v1,101/sublime-v1/contracts/PooledCreditLine/LenderPool.sol,0.7.6
web3bugs_110_H_01,web3bugs,StakedCitadel,balance,erroneous_accounting,not_detectable,110,110,110/src/StakedCitadel.sol,0.8.12
web3bugs_5_H_15,web3bugs,Router,swapWithSynthsWithLimit,erroneous_accounting,not_detectable,5,5,5/vader-protocol/contracts/Router.sol,0.8.3
web3bugs_29_H_11,web3bugs,ConstantProductPool,burnSingle,erroneous_accounting,not_detectable,29,29/trident,29/trident/contracts/pool/ConstantProductPool.sol,0.8.0
web3bugs_35_H_10,web3bugs,ConcentratedLiquidityPool,burn,erroneous_accounting,not_detectable,35,35/trident,35/trident/contracts/pool/concentrated/ConcentratedLiquidityPool.sol,0.8.0
web3bugs_42_H_01,web3bugs,MochiVault,borrow,erroneous_accounting,not_detectable,42,42/projects/mochi-core,42/projects/mochi-core/contracts/vault/MochiVault.sol,0.8.0
web3bugs_47_H_02,web3bugs,WrappedIbbtcEth,transferFrom,erroneous_accounting,annotated,47,47,47/contracts/WrappedIbbtcEth.sol,0.6.12
web3bugs_51_H_06,web3bugs,SwapUtils,addLiquidity,erroneous_accounting,not_detectable,51,51/customswap,51/customswap/contracts/SwapUtils.sol,0.6.12
web3bugs_52_H_16,web3bugs,VaderRouter,calculateOutGivenIn,erroneous_accounting,not_detectable,52,52,52/contracts/dex/router/VaderRouter.sol,0.8.9
web3bugs_62_H_10,web3bugs,Stream,recoverTokens,erroneous_accounting,not_detectable,62,62/Streaming,62/Streaming/src/Locke.sol,0.8.0
web3bugs_78_H_02,web3bugs,RebaseProxy,mint,erroneous_accounting,annotated,78,78,78/contracts/TokenProxies/RebaseProxy.sol,0.8.4
web3bugs_101_H_02,web3bugs,LenderPool,terminate,erroneous_accounting,not_detectable,101,101/sublime-v1,101/sublime-v1/contracts/PooledCreditLine/LenderPool.sol,0.7.6
web3bugs_3_H_05,web3bugs,CrossMarginAccounts,belowMaintenanceThreshold,erroneous_accounting,not_detectable,3,3,3/contracts/CrossMarginAccounts.sol,0.8.0
web3bugs_5_H_07,web3bugs,Utils,calcAsymmetricShare,erroneous_accounting,annotated,5,5,5/vader-protocol/contracts/Utils.sol,0.8.3
web3bugs_5_H_08,web3bugs,Utils,calcLiquidityUnits,erroneous_accounting,annotated,5,5,5/vader-protocol/contracts/Utils.sol,0.8.3
web3bugs_5_H_12,web3bugs,Pools,getAddedAmount,erroneous_accounting,annotated,5,5,5/vader-protocol/contracts/Pools.sol,0.8.3
web3bugs_8_H_03,web3bugs,NFTXVaultUpgradeable,getRandomTokenIdFromFund,erroneous_accounting,not_detectable,8,8/nftx-protocol-v2,8/nftx-protocol-v2/contracts/solidity/NFTXVaultUpgradeable.sol,0.6.8
web3bugs_16_H_04,web3bugs,Balances,applyTrade,erroneous_accounting,not_detectable,16,16/src,16/src/contracts/lib/LibBalances.sol,0.8.0
web3bugs_16_H_06,web3bugs,GasOracle,latestAnswer,erroneous_accounting,not_detectable,16,16/src,16/src/contracts/oracle/GasOracle.sol,0.8.0
web3bugs_17_H_02,web3bugs,Buoy3Pool,safetyCheck,erroneous_accounting,not_detectable,17,17,17/contracts/pools/oracle/Buoy3Pool.sol,0.6.0
web3bugs_25_H_01,web3bugs,CompositeMultiOracle,_peek;_get,erroneous_accounting,not_detectable,25,25,25/contracts/oracles/composite/CompositeMultiOracle.sol,0.8.1
web3bugs_25_H_05,web3bugs,CTokenMultiOracle,_setSource,erroneous_accounting,not_detectable,25,25,25/contracts/oracles/compound/CTokenMultiOracle.sol,0.8.1
web3bugs_29_H_05,web3bugs,HybridPool,_nonOptimalMintFee,erroneous_accounting,not_detectable,29,29/trident,29/trident/contracts/pool/HybridPool.sol,0.8.0
web3bugs_29_H_08,web3bugs,HybridPool,_getReserves,erroneous_accounting,not_detectable,29,29/trident,29/trident/contracts/pool/HybridPool.sol,0.8.0
web3bugs_31_H_01,web3bugs,MyStrategy,manualRebalance,erroneous_accounting,not_detectable,31,31/veCVX,31/veCVX/contracts/veCVXStrategy.sol,0.6.11
web3bugs_34_H_01,web3bugs,DrawCalculator,_numberOfPrizesForIndex,erroneous_accounting,not_detectable,34,34/v4-core,34/v4-core/contracts/DrawCalculator.sol,0.8.6
web3bugs_35_H_08,web3bugs,ConcentratedLiquidityPool,mint;burn,erroneous_accounting,not_detectable,35,35/trident,35/trident/contracts/pool/concentrated/ConcentratedLiquidityPool.sol,0.8.0
web3bugs_35_H_11,web3bugs,Ticks,cross,erroneous_accounting,not_detectable,35,35/trident,35/trident/contracts/libraries/concentratedPool/Ticks.sol,0.8.0
web3bugs_39_H_02,web3bugs,Swivel,exitVaultFillingVaultInitiate,erroneous_accounting,not_detectable,39,39,39/gost/build/swivel/Swivel.sol,0.8.4
web3bugs_44_H_02,web3bugs,Swap,fillZrxQuote,erroneous_accounting,not_detectable,44,44,44/contracts/swap/Swap.sol,0.8.0
web3bugs_51_H_02,web3bugs,SwapUtils,rampTargetPrice,erroneous_accounting,annotated,51,51/customswap,51/customswap/contracts/SwapUtils.sol,0.6.12
web3bugs_51_H_04,web3bugs,SwapUtils,getYC,erroneous_accounting,not_detectable,51,51/customswap,51/customswap/contracts/SwapUtils.sol,0.6.12
web3bugs_52_H_04,web3bugs,TwapOracle,consult,erroneous_accounting,not_detectable,52,52,52/contracts/twap/TwapOracle.sol,0.8.9
web3bugs_52_H_15,web3bugs,VaderRouter,_swap,erroneous_accounting,not_detectable,52,52,52/contracts/dex/router/VaderRouter.sol,0.8.9
web3bugs_52_H_23,web3bugs,VaderPoolV2,mintSynth,erroneous_accounting,not_detectable,52,52,52/contracts/dex-v2/pool/VaderPoolV2.sol,0.8.9
web3bugs_52_H_34,web3bugs,TwapOracle,consult,erroneous_accounting,not_detectable,52,52,52/contracts/twap/TwapOracle.sol,0.8.9
web3bugs_56_H_02,web3bugs,CDP,update,erroneous_accounting,annotated,56,56,56/contracts/v3/alchemix/libraries/alchemist/CDP.sol,0.6.12
web3bugs_58_H_02,web3bugs,LpIssuer,_chargeFees,erroneous_accounting,annotated,58,58/mellow-vaults,58/mellow-vaults/contracts/LpIssuer.sol,0.8.9
web3bugs_59_H_04,web3bugs,AuctionBurnReserveSkew,getPegDeltaFrequency,erroneous_accounting,not_detectable,59,59/src,59/src/contracts/AuctionBurnReserveSkew.sol,0.6.6
web3bugs_59_H_05,web3bugs,AuctionEscapeHatch,exitEarly,erroneous_accounting,not_detectable,59,59/src,59/src/contracts/AuctionEscapeHatch.sol,0.6.6
web3bugs_60_H_01,web3bugs,OptimisticLedgerLib,settleAccount,erroneous_accounting,annotated,60,60/protocol,60/protocol/contracts/collateral/types/OptimisticLedger.sol,0.8.10
web3bugs_61_H_01,web3bugs,CreditLine,_borrowTokensToLiquidate,erroneous_accounting,not_detectable,61,61,61/contracts/CreditLine/CreditLine.sol,0.7.6
web3bugs_61_H_04,web3bugs,YearnYield,getTokensForShares,erroneous_accounting,not_detectable,61,61,61/contracts/yield/YearnYield.sol,0.7.6
web3bugs_62_H_01,web3bugs,Stream,recoverTokens,erroneous_accounting,not_detectable,62,62/Streaming,62/Streaming/src/Locke.sol,0.8.0
web3bugs_62_H_03,web3bugs,Stream,recoverTokens,erroneous_accounting,not_detectable,62,62/Streaming,62/Streaming/src/Locke.sol,0.8.0
web3bugs_70_H_03,web3bugs,LiquidityBasedTWAP,_calculateUSDVPrice,erroneous_accounting,not_detectable,70,70,70/contracts/lbt/LiquidityBasedTWAP.sol,0.8.9
web3bugs_70_H_04,web3bugs,LiquidityBasedTWAP,syncVaderPrice,erroneous_accounting,not_detectable,70,70,70/contracts/lbt/LiquidityBasedTWAP.sol,0.8.9
web3bugs_70_H_05,web3bugs,LiquidityBasedTWAP,_calculateUSDVPrice,erroneous_accounting,not_detectable,70,70,70/contracts/lbt/LiquidityBasedTWAP.sol,0.8.9
web3bugs_70_H_08,web3bugs,VaderReserve,reimburseImpermanentLoss,erroneous_accounting,not_detectable,70,70,70/contracts/reserve/VaderReserve.sol,0.8.9
web3bugs_70_H_09,web3bugs,USDV,mint,erroneous_accounting,not_detectable,70,70,70/contracts/tokens/USDV.sol,0.8.9
web3bugs_71_H_11,web3bugs,PoolTemplate,resume,erroneous_accounting,not_detectable,71,71,71/contracts/PoolTemplate.sol,0.8.7
web3bugs_77_H_01,web3bugs,MathLib,calculateLiquidityTokenQtyForSingleAssetEntry,erroneous_accounting,annotated,77,77/elasticswap,77/elasticswap/src/libraries/MathLib.sol,0.8.4
web3bugs_79_H_02,web3bugs,LaunchEvent,createPair,erroneous_accounting,not_detectable,79,79,79/contracts/LaunchEvent.sol,0.8.0
web3bugs_113_H_05,web3bugs,NFTPairWithOracle,_lend,erroneous_accounting,not_detectable,113,113,113/contracts/NFTPairWithOracle.sol,0.6.12
