case_id,source,contract,function,pattern,IC_detected,IC_time,IC_stdev,IC_n_runs,GPT_strict,GPT_loose,GPT_time,GPT_stdev,GPT_n_runs,GPT_patterns,SC_applicable,SC_detected,SC_time,SC_stdev,SC_n_runs,NS_detected,NS_time,NS_stdev,NS_n_runs,NS_patched,NS_patterns
numscout_BoostToken_indivisible,numscout,BoostToken,sendETHToTeam,indivisible_amount,True,5.668833333333333,0.6041821607208651,3,False,True,70.59902787208557,7.408077400209979,3,price-manipulation,False,,,,0,False,376.86658604939777,539.0347058996333,3,False,
numscout_BoostToken_operator,numscout,BoostToken,sendETHToTeam,operator_order_issue,True,5.430433333333333,0.481396970631654,3,False,True,71.7474304040273,9.275033844971176,3,price-manipulation,False,,,,0,False,379.30844895044964,537.0377155325516,3,False,
numscout_HIT,numscout,HIT,getTokens,profit_opportunity,True,2.0346,0.4560932251196021,3,False,False,8.616021712621054,0.8224677633789098,3,,False,,,,0,True,819.2879008452097,223.1900580023826,3,False,exchange_problem; exchange_rounding; profit_opportunity
numscout_Nokon,numscout,Nokon,buy,exchange_problem,True,0.6671666666666667,0.09308599966339372,3,False,False,24.486541350682575,3.351680252891072,3,,False,,,,0,True,183.85277970631918,49.684649110733666,3,False,operator_order_issue; exchange_problem; exchange_rounding
numscout_SwordCrowdsale,numscout,SwordCrowdsale,refundMoney,greedy_contract,True,0.6590333333333334,0.06553116307020143,3,False,False,0.8783169587453207,0.06652549108931086,3,,False,,,,0,False,0.18990166982014975,0.04330415707113812,3,False,
numscout_WANGMI,numscout,WANGMI,_transfer,div_in_path,True,14.937866666666666,2.5647835490218935,3,False,True,38.92928330103556,10.07121713224787,3,no-slippage-limit-check,False,,,,0,True,1801.9967500368755,0.6605603235321849,3,False,div_in_path
web3bugs_101_H_01,web3bugs,LenderPool,_calculatePrincipalWithdrawable,erroneous_accounting,True,0.8704333333333333,0.04115535607103084,3,False,True,779.5658608277639,30.81405148449877,3,price-manipulation; wrong-order-interest,True,False,22.8,1.1910919359982257,3,False,1801.5368385314941,1.247310770897968,3,False,
web3bugs_45_H_01,web3bugs,UToken,borrow,erroneous_accounting,True,13.5498,4.520456733561334,3,False,True,297.87751420338947,36.59793509709918,3,price-manipulation,False,,,,0,True,310.3312192757924,91.72198724120135,3,False,div_in_path
web3bugs_47_H_02,web3bugs,WrappedIbbtcEth,transferFrom,erroneous_accounting,True,1.4155333333333333,0.11470188897020545,3,False,False,12.681782086690268,3.119591426132765,3,,True,True,3.17,0.23515952032609697,3,False,313.6006259918213,58.12665676333894,3,False,
web3bugs_51_H_02,web3bugs,Swap,rampTargetPrice,erroneous_accounting,True,3.176033333333333,0.6863119723080265,3,False,False,125.00482988357544,7.342615748313862,3,,False,,,,0,False,1824.0241649945576,6.946963651494307,3,True,
web3bugs_56_H_02,web3bugs,CDP,update,erroneous_accounting,True,2.3663333333333334,1.4487659449798418,3,False,False,542.6713294188181,83.09714953878816,3,,True,False,22.876666666666665,2.50731596200665,3,False,0.0291140079498291,0.01220177693599409,3,False,
web3bugs_58_H_02,web3bugs,LpIssuer,_chargeFees,erroneous_accounting,True,9.6702,3.6594454921476838,3,False,True,344.86735741297406,44.70736901890331,3,price-manipulation,False,,,,0,False,11.028458595275879,3.9181812627143198,3,False,
web3bugs_5_H_07,web3bugs,Utils,calcAsymmetricShare,erroneous_accounting,True,0.44449999999999995,0.12011348800197255,3,False,True,549.9569096565247,28.74215070667141,3,price-manipulation,True,True,8.623333333333335,0.06027713773341673,3,True,1543.6174513498943,233.15298193309582,3,False,div_in_path
web3bugs_5_H_08,web3bugs,Utils,calcLiquidityUnits,erroneous_accounting,True,1.1048666666666669,0.1665674738156683,3,False,True,543.3967418670654,53.45917739641676,3,price-manipulation; wrong-order-interest,True,True,8.716666666666667,0.08962886439832515,3,True,1540.2532853285472,230.7449748632123,3,False,div_in_path
web3bugs_5_H_12,web3bugs,Pools,getAddedAmount,erroneous_accounting,True,1.7503333333333335,1.414331309606534,3,False,True,543.1916806697845,49.24215940472698,3,no-slippage-limit-check; price-manipulation,False,,,,0,False,50.690149784088135,7.589325993219751,3,False,
web3bugs_60_H_01,web3bugs,Collateral,settleAccount,erroneous_accounting,True,1.0585,0.06830263538107448,3,False,False,20.618011077245075,4.396269368514093,3,,True,True,12.046666666666667,1.9570981920520327,3,False,89.74669623374939,28.18948045295019,3,False,
web3bugs_62_H_08,web3bugs,Stream,updateStreamInternal,inconsistent_state_updates,True,4.761066666666666,0.32008063567378314,3,False,False,91.9755179087321,5.162657501327732,3,,False,,,,0,False,261.9272042115529,79.56943764322672,3,False,
web3bugs_70_H_10,web3bugs,LiquidityBasedTWAP,syncVaderPrice,inconsistent_state_updates,True,3.3212333333333337,0.30742336172342744,3,False,True,496.67964760462445,27.23149921242338,3,price-manipulation,True,False,19.066666666666666,1.3164472390997415,3,False,42.7577064037323,11.468615831883655,3,False,
web3bugs_77_H_01,web3bugs,Exchange,calculateLiquidityTokenQtyForSingleAssetEntry,erroneous_accounting,True,0.3280666666666667,0.023971302286970836,3,False,False,174.78446515401205,5.455583893138856,3,,False,,,,0,True,1819.5598174730937,10.241337499135108,3,True,div_in_path; operator_order_issue
web3bugs_78_H_02,web3bugs,RebaseProxy,mint,erroneous_accounting,True,0.5775,0.015599999999999982,3,False,True,580.0233745574951,8.26391245318466,3,price-manipulation,False,,,,0,False,1211.0680142243702,369.25057471447775,3,False,
