case_id,group,lines,internal_calls,external_calls,control_flow,debug_total,num_records,using_directives,loop_count,branch_count,guard_count,debug_statevar,debug_localvar,debug_globalvar,debug_ireturn,intent_during,intent_post,intent_total
WANGMI,baseline20,339,24,55,22,21,221,1,0,8,14,17,3,1,0,1,0,1
Nokon,baseline20,38,3,0,5,3,43,1,0,2,3,2,0,1,0,1,0,1
SwordCrowdsale,baseline20,48,2,2,3,2,54,0,0,1,2,2,0,0,0,0,2,2
BoostToken,baseline20,128,16,18,21,1,127,2,1,9,11,0,1,0,0,2,0,2
BoostToken,baseline20,128,16,18,21,1,129,2,1,9,11,0,1,0,0,4,0,4
HIT,baseline20,52,2,6,8,7,62,1,0,5,3,6,0,1,0,1,0,1
web3bugs_5_H_07,baseline20,20,0,0,0,3,25,0,0,0,0,0,3,0,0,1,0,1
web3bugs_5_H_08,baseline20,34,1,0,4,5,41,0,0,4,0,0,5,0,0,1,0,1
web3bugs_5_H_12,baseline20,27,0,1,3,7,36,0,0,3,0,4,2,0,1,0,1,1
web3bugs_45_H_01,baseline20,159,23,8,20,16,163,1,0,9,11,13,1,2,0,0,1,1
web3bugs_47_H_02,baseline20,19,1,3,0,7,29,0,0,0,0,3,3,1,0,0,1,1
web3bugs_51_H_02,baseline20,91,1,21,11,8,98,3,0,6,5,5,2,1,0,1,0,1
web3bugs_56_H_02,baseline20,33,0,7,3,5,38,4,0,3,0,5,0,0,0,0,1,1
web3bugs_58_H_02,baseline20,67,0,5,16,16,78,1,4,12,0,3,8,0,5,1,0,1
web3bugs_60_H_01,baseline20,18,0,8,1,3,23,2,0,1,0,2,1,0,0,1,0,1
web3bugs_62_H_08,baseline20,117,3,3,16,15,132,1,0,10,6,13,0,2,0,0,1,1
web3bugs_70_H_10,baseline20,82,2,5,4,9,59,1,1,1,2,8,0,1,0,0,1,1
web3bugs_77_H_01,baseline20,26,5,0,0,5,28,0,0,0,0,0,5,0,0,0,1,1
web3bugs_78_H_02,baseline20,18,1,3,2,5,21,0,0,1,1,2,2,0,1,0,1,1
web3bugs_101_H_01,baseline20,36,0,4,0,5,44,2,0,0,0,2,2,0,1,1,0,1
web3bugs_112_H_01,phase_reviews_expressible,19,0,5,3,7,30,0,0,1,2,4,2,1,0,2,0,2
web3bugs_113_H_05,phase_reviews_expressible,65,0,6,7,12,66,1,0,3,4,5,7,0,0,1,0,1
web3bugs_16_H_06,phase_reviews_expressible,9,0,3,0,2,14,0,0,0,0,0,0,0,2,0,1,1
web3bugs_192_H_01,phase_reviews_expressible,24,2,10,1,6,31,0,1,0,0,1,4,1,0,0,1,1
web3bugs_29_H_08,phase_reviews_expressible,15,2,1,0,5,23,0,0,0,0,5,0,0,0,0,2,2
web3bugs_29_H_11,phase_reviews_expressible,137,10,6,15,13,127,0,0,10,5,10,3,0,0,2,0,2
web3bugs_31_H_01,phase_reviews_expressible,69,3,26,10,9,73,1,0,7,3,3,1,1,4,1,0,1
web3bugs_35_H_08,phase_reviews_expressible,128,4,15,14,12,112,1,0,12,2,7,5,0,0,0,1,1
web3bugs_35_H_11,phase_reviews_expressible,33,0,0,6,9,38,0,0,6,0,0,9,0,0,1,0,1
web3bugs_35_H_12,phase_reviews_expressible,130,4,15,14,15,117,1,0,12,2,9,5,1,0,0,1,1
web3bugs_3_H_04,phase_reviews_expressible,54,2,0,3,8,43,0,1,2,0,5,2,1,0,0,1,1
web3bugs_3_H_05,phase_reviews_expressible,85,5,3,2,11,51,0,2,0,0,1,10,0,0,0,1,1
web3bugs_42_H_01,phase_reviews_expressible,83,4,37,11,16,83,1,0,6,5,6,2,1,7,1,0,1
web3bugs_52_H_04,phase_reviews_expressible,45,0,4,7,9,44,1,1,2,4,4,1,0,4,0,1,1
web3bugs_52_H_23,phase_reviews_expressible,97,3,9,4,8,57,0,0,2,2,4,4,0,0,1,0,1
web3bugs_52_H_34,phase_reviews_expressible,45,0,4,7,11,46,1,1,2,4,6,1,0,4,0,1,1
web3bugs_59_H_04,phase_reviews_expressible,17,1,0,2,5,25,0,1,1,0,5,0,0,0,0,1,1
web3bugs_62_H_03,phase_reviews_expressible,53,5,1,5,13,66,1,0,2,3,11,0,2,0,0,1,1
web3bugs_62_H_10,phase_reviews_expressible,28,1,1,5,11,42,1,0,0,5,8,1,2,0,0,1,1
web3bugs_65_H_01,phase_reviews_expressible,25,0,3,3,3,31,0,0,3,0,1,1,1,0,0,1,1
web3bugs_70_H_04,phase_reviews_expressible,82,2,5,4,6,57,1,1,1,2,5,0,1,0,0,2,2
web3bugs_70_H_05,phase_reviews_expressible,39,1,3,3,5,32,1,1,0,2,3,2,0,0,0,1,1
web3bugs_79_H_02,phase_reviews_expressible,107,5,9,19,17,100,0,0,11,8,13,0,1,3,1,0,1
web3bugs_83_H_01,phase_reviews_expressible,21,0,2,2,10,33,1,0,0,2,5,4,1,0,0,1,1
numscout_EthereumGod,phase_reviews_expressible,106,8,14,4,4,84,2,0,0,4,2,1,1,0,2,0,2
