case_id,median_1,median_3,median_6,median_10
numscout_WANGMI,10.5137,11.3885,12.4549,12.9923
numscout_Nokon,0.7753,0.819,0.8721,0.8454
flyinointment_SwordCrowdsale,0.7799,0.7634,0.7621,0.7621
numscout_BoostToken_operator,4.2726,4.3941,4.4086,4.4346
numscout_BoostToken_indivisible,4.7755,5.5681,5.3784,5.3766
numscout_HIT,1.8761,1.8937,1.9274,2.0627
web3bugs_5_H_07,0.3859,0.4099,0.3979,0.4039
web3bugs_5_H_08,0.9821,1.0436,1.0962,1.1535
web3bugs_5_H_12,0.9151,0.8221,0.8197,0.8123
web3bugs_45_H_01,18.4642,18.4642,18.1617,10.6901
web3bugs_47_H_02,1.5777,1.4843,1.531,1.5946
web3bugs_51_H_02,3.234,3.3355,3.1473,3.1693
web3bugs_56_H_02,1.6384,1.6741,1.6562,1.6508
web3bugs_58_H_02,8.685,8.685,8.1428,8.1618
web3bugs_60_H_01,1.308,1.308,1.4314,1.3971
web3bugs_62_H_08,5.1123,4.8368,4.7009,4.9746
web3bugs_70_H_10,3.7475,3.4622,3.5417,3.6635
web3bugs_77_H_01,0.3533,0.4082,0.4036,0.4103
web3bugs_78_H_02,0.6288,0.6462,0.6385,0.6467
web3bugs_101_H_01,0.9701,1.0126,1.0651,1.0489
web3bugs_112_H_01,0.8203,0.9738,0.9428,0.8898
web3bugs_113_H_05,2.6576,2.9968,2.9855,3.2659
web3bugs_16_H_06,0.4053,0.3975,0.3922,0.3983
web3bugs_192_H_01,0.6985,0.7269,0.7416,0.7416
web3bugs_29_H_08,0.4518,0.3648,0.3774,0.3856
web3bugs_29_H_11,7.7357,7.7357,7.7059,7.9352
web3bugs_31_H_01,3.7855,3.7855,4.0407,4.2954
web3bugs_35_H_08,7.6104,7.6104,9.4813,12.5574
web3bugs_35_H_11,1.5784,1.1603,1.2732,1.297
web3bugs_35_H_12,7.2025,7.2025,7.1424,7.1827
web3bugs_3_H_04,3.0624,3.0624,3.0914,3.2165
web3bugs_3_H_05,2.2085,2.1518,2.2638,2.3419
web3bugs_42_H_01,3.8054,3.8054,3.735,3.6663
web3bugs_52_H_04,3.8836,3.8836,3.8115,3.851
web3bugs_52_H_23,2.1149,2.5179,2.4175,2.39
web3bugs_52_H_34,3.9253,4.4523,4.5417,4.5461
web3bugs_59_H_04,0.997,1.0525,1.1748,1.1449
web3bugs_62_H_03,2.355,2.6571,2.259,2.1648
web3bugs_62_H_10,1.3015,1.3015,1.0581,0.9896
web3bugs_65_H_01,1.8056,1.6103,1.5947,1.6551
web3bugs_70_H_04,7.0316,4.458,3.2808,3.291
web3bugs_70_H_05,1.4467,1.4777,1.5138,1.549
web3bugs_79_H_02,4.1836,4.6232,4.5019,4.5017
web3bugs_83_H_01,0.6183,0.6145,0.5971,0.6228
numscout_EthereumGod,2.4651,2.2337,2.199,2.2098
web3bugs_16_H_04,1.6397,1.6397,1.7161,1.7954
