case_id,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,mean,median,std,q1,q3,iqr,min,max
numscout_WANGMI,10.5137,11.3885,14.0451,12.6543,12.2554,13.1799,14.3802,13.1797,13.5198,12.8048,12.7921,12.9923,1.1733,12.2554,13.5198,1.2644,10.5137,14.3802
numscout_Nokon,0.7753,0.819,0.8728,0.8725,1.1435,0.8718,0.7982,0.7483,0.9188,0.7475,0.8568,0.8454,0.1164,0.7753,0.8728,0.0975,0.7475,1.1435
flyinointment_SwordCrowdsale,0.7799,0.7609,0.7634,0.7513,0.8322,0.7582,0.7741,0.7395,0.8263,0.7508,0.7737,0.7621,0.0315,0.7513,0.7799,0.0286,0.7395,0.8322
numscout_BoostToken_indivisible,4.7755,5.5681,5.5734,5.2637,5.3368,5.42,5.6885,5.2433,5.2946,5.4165,5.358,5.3766,0.2523,5.2637,5.5681,0.3044,4.7755,5.6885
numscout_HIT,1.8761,1.9308,1.8937,1.9241,2.1289,2.2806,1.9965,2.1836,2.2842,2.259,2.0758,2.0627,0.1689,1.9241,2.259,0.3349,1.8761,2.2842
web3bugs_5_H_07,0.3859,0.4099,0.4222,0.3684,0.3801,0.579,0.3979,0.3833,0.5048,0.4935,0.4325,0.4039,0.0697,0.3833,0.4935,0.1102,0.3684,0.579
web3bugs_5_H_08,0.9821,1.0436,1.1596,1.1474,1.0451,1.6224,2.089,1.4899,1.356,1.0065,1.2942,1.1535,0.3537,1.0436,1.4899,0.4463,0.9821,2.089
web3bugs_5_H_12,0.9151,0.8221,0.8083,0.8526,0.7554,0.8173,0.7268,0.8073,0.775,0.8162,0.8096,0.8123,0.0519,0.775,0.8221,0.0471,0.7268,0.9151
web3bugs_45_H_01,18.4642,18.8495,18.1053,18.2181,11.5732,8.7011,8.8636,8.8524,9.1357,9.807,13.057,10.6901,4.682,8.8636,18.2181,9.3545,8.7011,18.8495
web3bugs_47_H_02,1.5777,1.4297,1.4843,1.3915,1.9548,2.1937,1.6735,1.6339,1.4678,1.6115,1.6418,1.5946,0.252,1.4678,1.6735,0.2057,1.3915,2.1937
web3bugs_51_H_02,3.234,3.3355,4.4392,3.0599,2.9808,3.0606,3.2605,3.1047,3.0762,3.2953,3.2847,3.1693,0.4227,3.0606,3.2953,0.2347,2.9808,4.4392
